Date,Type,Usage_Count,Quality_Score
2026-04-06,Victor_Master,35,75.48521627944827
2026-04-07,RSL_No1,40,66.69049883588963
2026-04-08,Victor_Master,23,77.70456825779839
2026-04-09,Victor_Master,49,74.49761890550863
2026-04-10,RSL_No1,40,72.6105195313359
2026-04-11,RSL_No1,34,65.92436337958402
2026-04-12,Victor_Master,37,69.23228669431667
2026-04-13,Yonex_AS30,22,82.55391225825755
2026-04-14,Victor_Master,32,80.00917187624381
2026-04-15,Victor_Master,15,65.22444755201448
2026-04-16,Victor_Master,49,75.99332305429226
2026-04-17,Victor_Master,37,82.5138712337179
2026-04-18,RSL_No1,21,58.305947188786284
2026-04-19,Victor_Master,10,80.43360192379934
2026-04-20,Yonex_AS30,8,68.37376241054153
2026-04-21,RSL_No1,24,80.70598668593159
2026-04-22,Yonex_AS30,31,67.36740843457483
2026-04-23,Yonex_AS30,19,56.95117899335481
2026-04-24,Yonex_AS30,10,58.72457562116837
2026-04-25,Yonex_AS30,18,75.48084946661382
2026-04-26,RSL_No1,15,77.59722501721483
2026-04-27,RSL_No1,43,65.95683374895592
2026-04-28,Yonex_AS30,13,81.38592458777374
2026-04-29,Yonex_AS30,30,58.3847993773104
2026-04-30,RSL_No1,20,74.33920201352683
2026-05-01,RSL_No1,9,62.889838002375434
2026-05-02,RSL_No1,14,68.4816389219784
2026-05-03,Victor_Master,7,75.47398671316414
2026-05-04,Victor_Master,17,66.39586634716048
2026-05-05,Victor_Master,47,71.15444455770175
2026-05-06,Yonex_AS30,34,85.0629280921444
2026-05-07,Victor_Master,49,69.23108130476851
2026-05-08,Yonex_AS30,10,83.35692112065142
2026-05-09,Yonex_AS30,21,63.702931453423815
2026-05-10,Victor_Master,49,80.29804177915283
2026-05-11,Yonex_AS30,23,89.41568620657901
2026-05-12,Victor_Master,46,50.283554998727105
2026-05-13,Victor_Master,39,67.03104744529523
2026-05-14,RSL_No1,30,80.7707212718054
2026-05-15,Victor_Master,9,72.96954613957007
2026-05-16,RSL_No1,33,78.71145873371309
2026-05-17,Victor_Master,41,68.9601481328418
2026-05-18,Victor_Master,24,75.865897874729
2026-05-19,RSL_No1,25,73.44322764607921
2026-05-20,RSL_No1,14,86.67782061659807
2026-05-21,Victor_Master,9,77.54420843301213
2026-05-22,Yonex_AS30,40,78.37602662075201
2026-05-23,RSL_No1,10,70.88123033877532
2026-05-24,Yonex_AS30,30,70.12393775927507
2026-05-25,Yonex_AS30,8,70.6744181218038
2026-05-26,Yonex_AS30,43,78.94452142378297
2026-05-27,RSL_No1,43,70.79015519179737
2026-05-28,Yonex_AS30,39,77.89774856896413
2026-05-29,RSL_No1,5,95.75400798645438
2026-05-30,Yonex_AS30,28,83.71124703431693
2026-05-31,Victor_Master,40,71.73976467832159
2026-06-01,Victor_Master,10,87.01213922163944
2026-06-02,RSL_No1,45,70.91924626978448
2026-06-03,Victor_Master,48,54.61875464822146
2026-06-04,Victor_Master,35,64.91913689082595
2026-06-05,Yonex_AS30,24,56.29208078974145
2026-06-06,RSL_No1,28,71.48486515958692
2026-06-07,Yonex_AS30,29,75.18418379189552
2026-06-08,Yonex_AS30,40,91.76437312275283
2026-06-09,Yonex_AS30,25,78.26927373764163
2026-06-10,Yonex_AS30,34,72.80899471191135
2026-06-11,Yonex_AS30,28,83.2940558118349
2026-06-12,Yonex_AS30,48,52.88864690992115
